a;b;Algorithm;Time
3;2;GR;0
3;2;GR;0.001
3;2;GR;0.001
4;2;GR;0.001
4;2;GR;0.002
4;2;GR;0.001
5;2;GR;0.003
5;2;GR;0.003
5;2;GR;0.003
7;3;GR;0.016
7;3;GR;0.016
7;3;GR;0.016
9;3;GR;0.032
9;3;GR;0.031
9;3;GR;0.032
12;3;GR;0.081
12;3;GR;0.081
12;3;GR;0.082
16;4;GR;0.34
16;4;GR;0.343
16;4;GR;0.341
21;5;GR;1.158
21;5;GR;1.155
21;5;GR;1.143
28;5;GR;2.852
28;5;GR;2.848
28;5;GR;2.851
37;6;GR;8.181
37;6;GR;8.126
37;6;GR;8.101
49;7;GR;31.784
49;7;GR;31.774
49;7;GR;31.241
64;8;GR;126.775
64;8;GR;126.574
64;8;GR;126.652
