a;b;Algorithm;Time
3;2;GTDGR;6.03e-005
3;2;GTDGR;4.56414e-005
3;2;GTDGR;4.89729e-005
4;2;GTDGR;9.09497e-005
4;2;GTDGR;8.26209e-005
4;2;GTDGR;8.32872e-005
5;2;GTDGR;0.000192227
5;2;GTDGR;0.00018623
5;2;GTDGR;0.000263188
7;3;GTDGR;0.00143121
7;3;GTDGR;0.00142221
7;3;GTDGR;0.00142288
9;3;GTDGR;0.00335981
9;3;GTDGR;0.0033718
9;3;GTDGR;0.00336914
12;3;GTDGR;0.0100414
12;3;GTDGR;0.0100684
12;3;GTDGR;0.0100265
16;4;GTDGR;0.0602627
16;4;GTDGR;0.0605598
16;4;GTDGR;0.0599205
21;5;GTDGR;0.298998
21;5;GTDGR;0.298164
21;5;GTDGR;0.299022
28;5;GTDGR;0.975605
28;5;GTDGR;0.975747
28;5;GTDGR;0.976646
37;6;GTDGR;4.66737
37;6;GTDGR;4.65287
37;6;GTDGR;4.6603
49;7;GTDGR;22.5165
49;7;GTDGR;22.5649
49;7;GTDGR;22.3569
64;8;GTDGR;136.293
64;8;GTDGR;135.769
64;8;GTDGR;135.995
84;9;GTDGR;608.279
84;9;GTDGR;605.926
84;9;GTDGR;606.725
