a;b;Algorithm;Time
3;2;GT Dyn;0
3;2;GT Dyn;0
3;2;GT Dyn;0
4;2;GT Dyn;0
4;2;GT Dyn;0
4;2;GT Dyn;0.001
5;2;GT Dyn;0.001
5;2;GT Dyn;0.001
5;2;GT Dyn;0.001
7;3;GT Dyn;0.006
7;3;GT Dyn;0.006
7;3;GT Dyn;0.006
9;3;GT Dyn;0.017
9;3;GT Dyn;0.016
9;3;GT Dyn;0.016
12;3;GT Dyn;0.051
12;3;GT Dyn;0.051
12;3;GT Dyn;0.051
16;4;GT Dyn;0.331
16;4;GT Dyn;0.331
16;4;GT Dyn;0.331
21;5;GT Dyn;1.721
21;5;GT Dyn;1.724
21;5;GT Dyn;1.721
28;5;GT Dyn;1.341
28;5;GT Dyn;1.343
28;5;GT Dyn;1.342
37;6;GT Dyn;9.74
37;6;GT Dyn;9.736
37;6;GT Dyn;9.732
49;7;GT Dyn;122.944
49;7;GT Dyn;122.828
49;7;GT Dyn;121.851
64;8;GT Dyn;257.755
