a;b;Algorithm;Time
3;2;GTN3GR;2.43199e-005
3;2;GTN3GR;1.63243e-005
3;2;GTN3GR;1.73237e-005
4;2;GTN3GR;2.93171e-005
4;2;GTN3GR;2.66519e-005
4;2;GTN3GR;2.8984e-005
5;2;GTN3GR;5.63022e-005
5;2;GTN3GR;5.63022e-005
5;2;GTN3GR;7.99558e-005
7;3;GTN3GR;0.000632983
7;3;GTN3GR;0.000610329
7;3;GTN3GR;0.00060933
9;3;GTN3GR;0.00164542
9;3;GTN3GR;0.00164742
9;3;GTN3GR;0.0016321
12;3;GTN3GR;0.00556925
12;3;GTN3GR;0.00556392
12;3;GTN3GR;0.00552827
16;4;GTN3GR;0.0358938
16;4;GTN3GR;0.0356619
16;4;GTN3GR;0.0356286
21;5;GTN3GR;0.207137
21;5;GTN3GR;0.206522
21;5;GTN3GR;0.206601
28;5;GTN3GR;0.724131
28;5;GTN3GR;0.723199
28;5;GTN3GR;0.723876
37;6;GTN3GR;3.64036
37;6;GTN3GR;3.64146
37;6;GTN3GR;3.63917
49;7;GTN3GR;18.0744
49;7;GTN3GR;18.0181
49;7;GTN3GR;17.9567
64;8;GTN3GR;108.027
64;8;GTN3GR;106.542
64;8;GTN3GR;106.828
84;9;GTN3GR;503.51
84;9;GTN3GR;504.026
84;9;GTN3GR;503.292
