a;b;Algorithm;Time
3;2;GT N3;0
3;2;GT N3;0
3;2;GT N3;0
4;2;GT N3;0
4;2;GT N3;0
4;2;GT N3;0
5;2;GT N3;0
5;2;GT N3;0
5;2;GT N3;0
7;3;GT N3;0.001
7;3;GT N3;0.001
7;3;GT N3;0.001
9;3;GT N3;0.004
9;3;GT N3;0.002
9;3;GT N3;0.002
12;3;GT N3;0.01
12;3;GT N3;0.009
12;3;GT N3;0.009
16;4;GT N3;0.062
16;4;GT N3;0.062
16;4;GT N3;0.061
21;5;GT N3;0.335
21;5;GT N3;0.346
21;5;GT N3;0.347
28;5;GT N3;0.247
28;5;GT N3;0.248
28;5;GT N3;0.248
37;6;GT N3;1.805
37;6;GT N3;1.797
37;6;GT N3;1.794
49;7;GT N3;29.502
49;7;GT N3;28.553
49;7;GT N3;28.81
64;8;GT N3;55.741
64;8;GT N3;55.734
64;8;GT N3;56.675
84;9;GT N3;56.882
84;9;GT N3;56.747
84;9;GT N3;57.584
