a;b;Algorithm;Time
3;2;KR Mod Dyn;0.001
3;2;KR Mod Dyn;0
3;2;KR Mod Dyn;0
4;2;KR Mod Dyn;0
4;2;KR Mod Dyn;0.001
4;2;KR Mod Dyn;0
5;2;KR Mod Dyn;0
5;2;KR Mod Dyn;0.001
5;2;KR Mod Dyn;0
7;3;KR Mod Dyn;0.007
7;3;KR Mod Dyn;0.007
7;3;KR Mod Dyn;0.007
9;3;KR Mod Dyn;0.02
9;3;KR Mod Dyn;0.02
9;3;KR Mod Dyn;0.02
12;3;KR Mod Dyn;0.064
12;3;KR Mod Dyn;0.063
12;3;KR Mod Dyn;0.063
16;4;KR Mod Dyn;0.517
16;4;KR Mod Dyn;0.515
16;4;KR Mod Dyn;0.502
21;5;KR Mod Dyn;2.705
21;5;KR Mod Dyn;2.657
21;5;KR Mod Dyn;2.694
28;5;KR Mod Dyn;2.259
28;5;KR Mod Dyn;2.14
28;5;KR Mod Dyn;2.145
37;6;KR Mod Dyn;15.613
37;6;KR Mod Dyn;15.615
37;6;KR Mod Dyn;15.542
49;7;KR Mod Dyn;364.236
49;7;KR Mod Dyn;368.586
