a;b;Algorithm;Time
3;2;KR Mod;0
3;2;KR Mod;0
3;2;KR Mod;0
4;2;KR Mod;0
4;2;KR Mod;0
4;2;KR Mod;0
5;2;KR Mod;0
5;2;KR Mod;0.001
5;2;KR Mod;0
7;3;KR Mod;0.003
7;3;KR Mod;0.002
7;3;KR Mod;0.003
9;3;KR Mod;0.007
9;3;KR Mod;0.007
9;3;KR Mod;0.007
12;3;KR Mod;0.025
12;3;KR Mod;0.023
12;3;KR Mod;0.023
16;4;KR Mod;0.204
16;4;KR Mod;0.205
16;4;KR Mod;0.195
21;5;KR Mod;1.166
21;5;KR Mod;1.135
21;5;KR Mod;1.15
28;5;KR Mod;0.74
28;5;KR Mod;0.762
28;5;KR Mod;0.772
37;6;KR Mod;6.548
37;6;KR Mod;6.468
37;6;KR Mod;6.36
49;7;KR Mod;178.366
49;7;KR Mod;184.608
49;7;KR Mod;183.109
