a;b;Algorithm;Time
3;2;KR1992MDGR;0.000119267
3;2;KR1992MDGR;0.000120933
3;2;KR1992MDGR;0.00013226
4;2;KR1992MDGR;0.000204553
4;2;KR1992MDGR;0.000173571
4;2;KR1992MDGR;0.000264853
5;2;KR1992MDGR;0.000547031
5;2;KR1992MDGR;0.000382788
5;2;KR1992MDGR;0.000366797
7;3;KR1992MDGR;0.00263121
7;3;KR1992MDGR;0.0025266
7;3;KR1992MDGR;0.00262388
9;3;KR1992MDGR;0.00571384
9;3;KR1992MDGR;0.00560323
9;3;KR1992MDGR;0.00578646
12;3;KR1992MDGR;0.018723
12;3;KR1992MDGR;0.0171362
12;3;KR1992MDGR;0.0181829
16;4;KR1992MDGR;0.122476
16;4;KR1992MDGR;0.113878
16;4;KR1992MDGR;0.112962
21;5;KR1992MDGR;0.58593
21;5;KR1992MDGR;0.584387
21;5;KR1992MDGR;0.586527
28;5;KR1992MDGR;2.01115
28;5;KR1992MDGR;1.96809
28;5;KR1992MDGR;1.97532
37;6;KR1992MDGR;9.66108
37;6;KR1992MDGR;9.952
37;6;KR1992MDGR;9.39755
49;7;KR1992MDGR;47.4042
49;7;KR1992MDGR;47.9961
49;7;KR1992MDGR;48.4386
