a;b;Algorithm;Time
3;2;KR1992M3GR;6.62966e-005
3;2;KR1992M3GR;4.63077e-005
3;2;KR1992M3GR;4.49751e-005
4;2;KR1992M3GR;0.000109939
4;2;KR1992M3GR;8.7285e-005
4;2;KR1992M3GR;8.42867e-005
5;2;KR1992M3GR;0.000171905
5;2;KR1992M3GR;0.000137924
5;2;KR1992M3GR;0.000145253
7;3;KR1992M3GR;0.000964799
7;3;KR1992M3GR;0.000865188
7;3;KR1992M3GR;0.000848864
9;3;KR1992M3GR;0.00208685
9;3;KR1992M3GR;0.00189062
9;3;KR1992M3GR;0.00191161
12;3;KR1992M3GR;0.00567286
12;3;KR1992M3GR;0.00548496
12;3;KR1992M3GR;0.00555493
16;4;KR1992M3GR;0.0364438
16;4;KR1992M3GR;0.0362989
16;4;KR1992M3GR;0.0374376
21;5;KR1992M3GR;0.185311
21;5;KR1992M3GR;0.187608
21;5;KR1992M3GR;0.185402
28;5;KR1992M3GR;0.6212
28;5;KR1992M3GR;0.631056
28;5;KR1992M3GR;0.606046
37;6;KR1992M3GR;2.90002
37;6;KR1992M3GR;2.8669
37;6;KR1992M3GR;2.88815
49;7;KR1992M3GR;14.6451
49;7;KR1992M3GR;14.5802
49;7;KR1992M3GR;14.5134
64;8;KR1992M3GR;88.8294
64;8;KR1992M3GR;88.553
64;8;KR1992M3GR;89.1786
84;9;KR1992M3GR;403.256
84;9;KR1992M3GR;404.12
84;9;KR1992M3GR;403.676
111;11;KR1992M3GR;2034.2
