a;b;Algorithm;Time
2;4;Dinic;0
2;4;Dinic;0
2;4;Dinic;0
2;6;Dinic;0
2;6;Dinic;0
2;6;Dinic;0
3;8;Dinic;0
3;8;Dinic;0
3;8;Dinic;0
3;11;Dinic;0.001
3;11;Dinic;0.001
3;11;Dinic;0
4;16;Dinic;0.001
4;16;Dinic;0.001
4;16;Dinic;0.001
5;23;Dinic;0.004
5;23;Dinic;0.004
5;23;Dinic;0.003
6;32;Dinic;0.013
6;32;Dinic;0.015
6;32;Dinic;0.015
7;45;Dinic;0.068
7;45;Dinic;0.071
7;45;Dinic;0.073
8;64;Dinic;0.281
8;64;Dinic;0.337
8;64;Dinic;0.268
10;91;Dinic;1.249
10;91;Dinic;1.164
10;91;Dinic;1.082
11;128;Dinic;3.398
11;128;Dinic;3.412
11;128;Dinic;3.428
13;181;Dinic;15.057
13;181;Dinic;14.649
13;181;Dinic;14.655
16;256;Dinic;102.184
16;256;Dinic;95.517
16;256;Dinic;96.092
