a;b;Algorithm;Time
2;4;EK;0
2;4;EK;0
2;4;EK;0
2;6;EK;0
2;6;EK;0
2;6;EK;0
3;8;EK;0
3;8;EK;0
3;8;EK;0
3;11;EK;0.001
3;11;EK;0
3;11;EK;0
4;16;EK;0.001
4;16;EK;0.002
4;16;EK;0.002
5;23;EK;0.007
5;23;EK;0.007
5;23;EK;0.006
6;32;EK;0.032
6;32;EK;0.033
6;32;EK;0.032
7;45;EK;0.164
7;45;EK;0.166
7;45;EK;0.158
8;64;EK;0.566
8;64;EK;0.566
8;64;EK;0.556
10;91;EK;2.84
10;91;EK;2.765
10;91;EK;2.799
11;128;EK;8.722
11;128;EK;8.947
11;128;EK;8.63
13;181;EK;63.308
13;181;EK;61.298
13;181;EK;61.343
16;256;EK;354.1
