a;b;Algorithm;Time
2;4;GR;0
2;4;GR;0.001
2;4;GR;0.001
2;6;GR;0
2;6;GR;0.001
2;6;GR;0.001
3;8;GR;0.003
3;8;GR;0.004
3;8;GR;0.004
3;11;GR;0.006
3;11;GR;0.006
3;11;GR;0.006
4;16;GR;0.026
4;16;GR;0.025
4;16;GR;0.026
5;23;GR;0.095
5;23;GR;0.097
5;23;GR;0.096
6;32;GR;0.28
6;32;GR;0.281
6;32;GR;0.282
7;45;GR;0.799
7;45;GR;0.787
7;45;GR;0.779
8;64;GR;2.028
8;64;GR;2.038
8;64;GR;2.031
10;91;GR;7.262
10;91;GR;7.201
10;91;GR;7.311
11;128;GR;16.177
11;128;GR;15.982
11;128;GR;15.878
13;181;GR;50.702
13;181;GR;50.203
13;181;GR;50.208
16;256;GR;235.635
16;256;GR;234.291
