a;b;Algorithm;Time
2;4;GTDGR;6.19657e-005
2;4;GTDGR;3.46475e-005
2;4;GTDGR;3.83121e-005
2;6;GTDGR;7.1627e-005
2;6;GTDGR;5.09718e-005
2;6;GTDGR;4.76403e-005
3;8;GTDGR;0.000396447
3;8;GTDGR;0.000374793
3;8;GTDGR;0.000275181
3;11;GTDGR;0.000418435
3;11;GTDGR;0.000412105
3;11;GTDGR;0.00040944
4;16;GTDGR;0.00258957
4;16;GTDGR;0.00252394
4;16;GTDGR;0.00253127
5;23;GTDGR;0.0102753
5;23;GTDGR;0.010172
5;23;GTDGR;0.010167
6;32;GTDGR;0.0453336
6;32;GTDGR;0.0455068
6;32;GTDGR;0.0454715
7;45;GTDGR;0.146685
7;45;GTDGR;0.145625
7;45;GTDGR;0.145255
8;64;GTDGR;0.504799
8;64;GTDGR;0.505164
8;64;GTDGR;0.506025
10;91;GTDGR;2.77747
10;91;GTDGR;2.77153
10;91;GTDGR;2.76813
11;128;GTDGR;7.38057
11;128;GTDGR;7.34113
11;128;GTDGR;7.35877
13;181;GTDGR;63.3129
13;181;GTDGR;63.1171
13;181;GTDGR;63.1723
16;256;GTDGR;426.575
16;256;GTDGR;425.871
16;256;GTDGR;426.045
19;362;GTDGR;1421.56
