a;b;Algorithm;Time
2;4;GT Dyn;0
2;4;GT Dyn;0
2;4;GT Dyn;0
2;6;GT Dyn;0.001
2;6;GT Dyn;0
2;6;GT Dyn;0
3;8;GT Dyn;0.001
3;8;GT Dyn;0.001
3;8;GT Dyn;0
3;11;GT Dyn;0.001
3;11;GT Dyn;0.001
3;11;GT Dyn;0.001
4;16;GT Dyn;0.007
4;16;GT Dyn;0.008
4;16;GT Dyn;0.007
5;23;GT Dyn;0.132
5;23;GT Dyn;0.128
5;23;GT Dyn;0.127
6;32;GT Dyn;0.576
6;32;GT Dyn;0.563
6;32;GT Dyn;0.562
7;45;GT Dyn;0.651
7;45;GT Dyn;0.65
7;45;GT Dyn;0.65
8;64;GT Dyn;1.494
8;64;GT Dyn;1.496
8;64;GT Dyn;1.508
10;91;GT Dyn;29.662
10;91;GT Dyn;30.645
10;91;GT Dyn;30.225
11;128;GT Dyn;16.019
11;128;GT Dyn;16.01
11;128;GT Dyn;16.37
13;181;GT Dyn;616.372
