a;b;Algorithm;Time
2;4;GTN3GR;2.09884e-005
2;4;GTN3GR;1.06608e-005
2;4;GTN3GR;1.06608e-005
2;6;GTN3GR;1.63243e-005
2;6;GTN3GR;1.46586e-005
2;6;GTN3GR;1.46586e-005
3;8;GTN3GR;0.000120933
3;8;GTN3GR;0.000121266
3;8;GTN3GR;0.000117268
3;11;GTN3GR;0.000205886
3;11;GTN3GR;0.000193226
3;11;GTN3GR;0.000189895
4;16;GTN3GR;0.00122099
4;16;GTN3GR;0.00122999
4;16;GTN3GR;0.00124365
5;23;GTN3GR;0.0062109
5;23;GTN3GR;0.00622222
5;23;GTN3GR;0.0062009
6;32;GTN3GR;0.0317401
6;32;GTN3GR;0.0316615
6;32;GTN3GR;0.0316195
7;45;GTN3GR;0.104637
7;45;GTN3GR;0.1033
7;45;GTN3GR;0.103066
8;64;GTN3GR;0.365489
8;64;GTN3GR;0.367098
8;64;GTN3GR;0.363321
10;91;GTN3GR;2.00615
10;91;GTN3GR;1.99782
10;91;GTN3GR;1.98906
11;128;GTN3GR;5.76125
11;128;GTN3GR;5.74925
11;128;GTN3GR;5.74944
13;181;GTN3GR;44.8042
13;181;GTN3GR;44.4639
13;181;GTN3GR;44.7392
16;256;GTN3GR;256.494
16;256;GTN3GR;256.053
16;256;GTN3GR;255.986
19;362;GTN3GR;1086.07
19;362;GTN3GR;1084.35
