a;b;Algorithm;Time
2;4;GT N3;0
2;4;GT N3;0
2;4;GT N3;0
2;6;GT N3;0
2;6;GT N3;0
2;6;GT N3;0
3;8;GT N3;0.001
3;8;GT N3;0
3;8;GT N3;0.001
3;11;GT N3;0
3;11;GT N3;0
3;11;GT N3;0
4;16;GT N3;0.001
4;16;GT N3;0.001
4;16;GT N3;0.001
5;23;GT N3;0.023
5;23;GT N3;0.023
5;23;GT N3;0.023
6;32;GT N3;0.107
6;32;GT N3;0.107
6;32;GT N3;0.107
7;45;GT N3;0.119
7;45;GT N3;0.12
7;45;GT N3;0.118
8;64;GT N3;0.273
8;64;GT N3;0.27
8;64;GT N3;0.27
10;91;GT N3;6.782
10;91;GT N3;6.847
10;91;GT N3;6.78
11;128;GT N3;3.305
11;128;GT N3;3.335
11;128;GT N3;3.327
13;181;GT N3;173.771
13;181;GT N3;178.994
13;181;GT N3;181.809
