a;b;Algorithm;Time
2;4;KR Mod Dyn;0
2;4;KR Mod Dyn;0
2;4;KR Mod Dyn;0
2;6;KR Mod Dyn;0
2;6;KR Mod Dyn;0.001
2;6;KR Mod Dyn;0
3;8;KR Mod Dyn;0.001
3;8;KR Mod Dyn;0.001
3;8;KR Mod Dyn;0.001
3;11;KR Mod Dyn;0.002
3;11;KR Mod Dyn;0.001
3;11;KR Mod Dyn;0.001
4;16;KR Mod Dyn;0.009
4;16;KR Mod Dyn;0.009
4;16;KR Mod Dyn;0.009
5;23;KR Mod Dyn;0.183
5;23;KR Mod Dyn;0.182
5;23;KR Mod Dyn;0.183
6;32;KR Mod Dyn;0.895
6;32;KR Mod Dyn;0.885
6;32;KR Mod Dyn;0.877
7;45;KR Mod Dyn;0.926
7;45;KR Mod Dyn;0.927
7;45;KR Mod Dyn;0.928
8;64;KR Mod Dyn;2.249
8;64;KR Mod Dyn;2.258
8;64;KR Mod Dyn;2.242
10;91;KR Mod Dyn;52.628
10;91;KR Mod Dyn;52.628
10;91;KR Mod Dyn;52.911
11;128;KR Mod Dyn;29.964
11;128;KR Mod Dyn;29.947
11;128;KR Mod Dyn;30.11
