a;b;Algorithm;Time
2;4;KR Mod;0
2;4;KR Mod;0
2;4;KR Mod;0
2;6;KR Mod;0
2;6;KR Mod;0
2;6;KR Mod;0
3;8;KR Mod;0.001
3;8;KR Mod;0
3;8;KR Mod;0
3;11;KR Mod;0.001
3;11;KR Mod;0.001
3;11;KR Mod;0
4;16;KR Mod;0.003
4;16;KR Mod;0.003
4;16;KR Mod;0.003
5;23;KR Mod;0.075
5;23;KR Mod;0.076
5;23;KR Mod;0.074
6;32;KR Mod;0.362
6;32;KR Mod;0.354
6;32;KR Mod;0.353
7;45;KR Mod;0.374
7;45;KR Mod;0.37
7;45;KR Mod;0.378
8;64;KR Mod;0.939
8;64;KR Mod;0.922
8;64;KR Mod;0.924
10;91;KR Mod;23.052
10;91;KR Mod;22.768
10;91;KR Mod;22.994
11;128;KR Mod;13.205
11;128;KR Mod;13.396
11;128;KR Mod;13.304
13;181;KR Mod;724.458
