a;b;Algorithm;Time
2;4;KR1992MDGR;0.000150583
2;4;KR1992MDGR;6.76292e-005
2;4;KR1992MDGR;7.26265e-005
2;6;KR1992MDGR;0.00012593
2;6;KR1992MDGR;0.000102277
2;6;KR1992MDGR;0.000104609
3;8;KR1992MDGR;0.000729929
3;8;KR1992MDGR;0.000669296
3;8;KR1992MDGR;0.000670962
3;11;KR1992MDGR;0.000988786
3;11;KR1992MDGR;0.000937814
3;11;KR1992MDGR;0.000956804
4;16;KR1992MDGR;0.00675626
4;16;KR1992MDGR;0.00583544
4;16;KR1992MDGR;0.00581978
5;23;KR1992MDGR;0.0276897
5;23;KR1992MDGR;0.0237715
5;23;KR1992MDGR;0.0237692
6;32;KR1992MDGR;0.105348
6;32;KR1992MDGR;0.102522
6;32;KR1992MDGR;0.103229
7;45;KR1992MDGR;0.337433
7;45;KR1992MDGR;0.344039
7;45;KR1992MDGR;0.348241
8;64;KR1992MDGR;1.19826
8;64;KR1992MDGR;1.18128
8;64;KR1992MDGR;1.19828
10;91;KR1992MDGR;6.14112
10;91;KR1992MDGR;6.09567
10;91;KR1992MDGR;5.99436
11;128;KR1992MDGR;18.2079
11;128;KR1992MDGR;18.3537
11;128;KR1992MDGR;17.7833
13;181;KR1992MDGR;97.1462
13;181;KR1992MDGR;96.4428
13;181;KR1992MDGR;97.489
16;256;KR1992MDGR;478.108
16;256;KR1992MDGR;478.737
16;256;KR1992MDGR;477.173
