a;b;Algorithm;Time
2;4;KR1992M3GR;6.19657e-005
2;4;KR1992M3GR;3.29818e-005
2;4;KR1992M3GR;3.99779e-005
2;6;KR1992M3GR;6.09663e-005
2;6;KR1992M3GR;5.03055e-005
2;6;KR1992M3GR;4.43088e-005
3;8;KR1992M3GR;0.000286508
3;8;KR1992M3GR;0.000250528
3;8;KR1992M3GR;0.000238535
3;11;KR1992M3GR;0.000405442
3;11;KR1992M3GR;0.00033115
3;11;KR1992M3GR;0.000341811
4;16;KR1992M3GR;0.00193226
4;16;KR1992M3GR;0.00183565
4;16;KR1992M3GR;0.00181433
5;23;KR1992M3GR;0.00776504
5;23;KR1992M3GR;0.00749086
5;23;KR1992M3GR;0.00748786
6;32;KR1992M3GR;0.0326186
6;32;KR1992M3GR;0.0320066
6;32;KR1992M3GR;0.0321192
7;45;KR1992M3GR;0.100454
7;45;KR1992M3GR;0.100216
7;45;KR1992M3GR;0.102787
8;64;KR1992M3GR;0.33901
8;64;KR1992M3GR;0.332266
8;64;KR1992M3GR;0.336874
10;91;KR1992M3GR;1.77068
10;91;KR1992M3GR;1.74036
10;91;KR1992M3GR;1.72423
11;128;KR1992M3GR;5.33194
11;128;KR1992M3GR;5.44044
11;128;KR1992M3GR;5.40721
13;181;KR1992M3GR;38.804
13;181;KR1992M3GR;37.1808
13;181;KR1992M3GR;38.7622
16;256;KR1992M3GR;195.83
16;256;KR1992M3GR;196.129
16;256;KR1992M3GR;195.657
19;362;KR1992M3GR;786.352
19;362;KR1992M3GR;788.841
19;362;KR1992M3GR;783.831
