Size;Algorithm;Time
18;Dinic;0
18;Dinic;0
18;Dinic;0
34;Dinic;0
34;Dinic;0
34;Dinic;0
66;Dinic;0
66;Dinic;0
66;Dinic;0
130;Dinic;0.001
130;Dinic;0
130;Dinic;0
258;Dinic;0.001
258;Dinic;0.001
258;Dinic;0.001
514;Dinic;0.005
514;Dinic;0.004
514;Dinic;0.004
1026;Dinic;0.022
1026;Dinic;0.016
1026;Dinic;0.016
2050;Dinic;0.074
2050;Dinic;0.074
2050;Dinic;0.074
4098;Dinic;0.321
4098;Dinic;0.324
4098;Dinic;0.323
8194;Dinic;1.354
8194;Dinic;1.346
8194;Dinic;1.34
16386;Dinic;5.63
16386;Dinic;5.611
16386;Dinic;5.667
32770;Dinic;23.019
32770;Dinic;22.966
32770;Dinic;23.053
65538;Dinic;144.829
65538;Dinic;145.015
65538;Dinic;144.883
131074;Dinic;737.272
131074;Dinic;734.775
131074;Dinic;736.547
