Size;Algorithm;Time
18;EK;0
18;EK;0
18;EK;0
34;EK;0
34;EK;0
34;EK;0
66;EK;0
66;EK;0
66;EK;0
130;EK;0
130;EK;0
130;EK;0
258;EK;0.001
258;EK;0.001
258;EK;0
514;EK;0.002
514;EK;0.002
514;EK;0.003
1026;EK;0.014
1026;EK;0.009
1026;EK;0.012
2050;EK;0.04
2050;EK;0.043
2050;EK;0.04
4098;EK;0.184
4098;EK;0.166
4098;EK;0.17
8194;EK;0.689
8194;EK;0.662
8194;EK;0.681
16386;EK;2.73
16386;EK;2.667
16386;EK;2.707
32770;EK;10.731
32770;EK;10.761
32770;EK;11.164
65538;EK;69.802
65538;EK;69.528
65538;EK;69.241
131074;EK;337.609
131074;EK;338.524
131074;EK;338.181
262146;EK;1482.53
