Size;Algorithm;Time
18;GT N3;0
18;GT N3;0
18;GT N3;0
34;GT N3;0
34;GT N3;0
34;GT N3;0
66;GT N3;0
66;GT N3;0
66;GT N3;0
130;GT N3;0.001
130;GT N3;0.001
130;GT N3;0
258;GT N3;0
258;GT N3;0.001
258;GT N3;0
514;GT N3;0.002
514;GT N3;0.001
514;GT N3;0.001
1026;GT N3;0.004
1026;GT N3;0.004
1026;GT N3;0.004
2050;GT N3;0.014
2050;GT N3;0.015
2050;GT N3;0.015
4098;GT N3;0.053
4098;GT N3;0.055
4098;GT N3;0.054
8194;GT N3;0.19
8194;GT N3;0.187
8194;GT N3;0.185
16386;GT N3;0.7
16386;GT N3;0.7
16386;GT N3;0.696
32770;GT N3;2.473
32770;GT N3;2.513
32770;GT N3;2.507
65538;GT N3;8.943
65538;GT N3;8.949
65538;GT N3;8.929
131074;GT N3;33.791
131074;GT N3;33.821
131074;GT N3;33.764
262146;GT N3;122.123
262146;GT N3;121.865
262146;GT N3;121.651
524290;GT N3;430.966
524290;GT N3;428.343
524290;GT N3;428.643
