Size;Algorithm;Time
18;Dinic;0
18;Dinic;0
18;Dinic;0
34;Dinic;0
34;Dinic;0
34;Dinic;0
66;Dinic;0
66;Dinic;0
66;Dinic;0
130;Dinic;0
130;Dinic;0
130;Dinic;0
258;Dinic;0.001
258;Dinic;0.001
258;Dinic;0.001
514;Dinic;0.004
514;Dinic;0.004
514;Dinic;0.004
1026;Dinic;0.017
1026;Dinic;0.016
1026;Dinic;0.016
2050;Dinic;0.075
2050;Dinic;0.074
2050;Dinic;0.074
4098;Dinic;0.323
4098;Dinic;0.327
4098;Dinic;0.328
8194;Dinic;1.365
8194;Dinic;1.356
8194;Dinic;1.353
16386;Dinic;5.693
16386;Dinic;5.678
16386;Dinic;5.722
32770;Dinic;23.621
32770;Dinic;23.513
32770;Dinic;23.588
65538;Dinic;150.816
65538;Dinic;150.632
65538;Dinic;150.736
