Size;Algorithm;Time
18;EK;0
18;EK;0
18;EK;0
34;EK;0
34;EK;0
34;EK;0
66;EK;0
66;EK;0
66;EK;0
130;EK;0
130;EK;0.001
130;EK;0
258;EK;0
258;EK;0
258;EK;0
514;EK;0.002
514;EK;0.002
514;EK;0.002
1026;EK;0.009
1026;EK;0.008
1026;EK;0.009
2050;EK;0.04
2050;EK;0.04
2050;EK;0.041
4098;EK;0.167
4098;EK;0.167
4098;EK;0.171
8194;EK;0.694
8194;EK;0.669
8194;EK;0.699
16386;EK;2.791
16386;EK;2.833
16386;EK;2.917
32770;EK;11.187
32770;EK;11.09
32770;EK;11.381
65538;EK;73.311
65538;EK;72.607
65538;EK;72.639
131074;EK;348.398
