Size;Algorithm;Time
18;GR;0
18;GR;0
18;GR;0.001
34;GR;0.002
34;GR;0.001
34;GR;0.001
66;GR;0.004
66;GR;0.004
66;GR;0.003
130;GR;0.012
130;GR;0.012
130;GR;0.012
258;GR;0.034
258;GR;0.034
258;GR;0.034
514;GR;0.111
514;GR;0.112
514;GR;0.11
1026;GR;0.324
1026;GR;0.326
1026;GR;0.326
2050;GR;1.072
2050;GR;1.074
2050;GR;1.08
4098;GR;3.111
4098;GR;3.111
4098;GR;3.113
8194;GR;10.198
8194;GR;10.205
8194;GR;10.187
16386;GR;29.821
16386;GR;29.928
16386;GR;29.866
32770;GR;96.356
32770;GR;96.236
32770;GR;96.158
65538;GR;330.213
