Size;Algorithm;Time
18;GT Dyn;0
18;GT Dyn;0
18;GT Dyn;0
34;GT Dyn;0.001
34;GT Dyn;0
34;GT Dyn;0
66;GT Dyn;0.001
66;GT Dyn;0
66;GT Dyn;0.001
130;GT Dyn;0
130;GT Dyn;0
130;GT Dyn;0
258;GT Dyn;0.001
258;GT Dyn;0.001
258;GT Dyn;0
514;GT Dyn;0.002
514;GT Dyn;0.002
514;GT Dyn;0.002
1026;GT Dyn;0.006
1026;GT Dyn;0.007
1026;GT Dyn;0.006
2050;GT Dyn;0.018
2050;GT Dyn;0.019
2050;GT Dyn;0.016
4098;GT Dyn;0.05
4098;GT Dyn;0.042
4098;GT Dyn;0.042
8194;GT Dyn;0.133
8194;GT Dyn;0.121
8194;GT Dyn;0.121
16386;GT Dyn;0.353
16386;GT Dyn;0.352
16386;GT Dyn;0.349
32770;GT Dyn;0.986
32770;GT Dyn;0.988
32770;GT Dyn;0.989
65538;GT Dyn;2.85
65538;GT Dyn;2.86
65538;GT Dyn;2.88
131074;GT Dyn;9.297
131074;GT Dyn;9.289
131074;GT Dyn;9.265
262146;GT Dyn;29.509
262146;GT Dyn;29.455
262146;GT Dyn;28.93
524290;GT Dyn;86.597
524290;GT Dyn;86.029
524290;GT Dyn;86.541
