Size;Algorithm;Time
18;GT N3;0
18;GT N3;0
18;GT N3;0
34;GT N3;0
34;GT N3;0
34;GT N3;0
66;GT N3;0
66;GT N3;0
66;GT N3;0
130;GT N3;0
130;GT N3;0
130;GT N3;0
258;GT N3;0
258;GT N3;0
258;GT N3;0
514;GT N3;0.001
514;GT N3;0.001
514;GT N3;0.001
1026;GT N3;0.005
1026;GT N3;0.004
1026;GT N3;0.004
2050;GT N3;0.015
2050;GT N3;0.015
2050;GT N3;0.015
4098;GT N3;0.054
4098;GT N3;0.055
4098;GT N3;0.055
8194;GT N3;0.193
8194;GT N3;0.193
8194;GT N3;0.19
16386;GT N3;0.718
16386;GT N3;0.716
16386;GT N3;0.711
32770;GT N3;2.554
32770;GT N3;2.601
32770;GT N3;2.595
65538;GT N3;9.579
65538;GT N3;9.561
65538;GT N3;9.522
131074;GT N3;35.796
131074;GT N3;35.585
131074;GT N3;36.018
262146;GT N3;127.591
262146;GT N3;129.141
262146;GT N3;125.647
