Size;Algorithm;Time
18;KR Mod Dyn;0
18;KR Mod Dyn;0
18;KR Mod Dyn;0
34;KR Mod Dyn;0
34;KR Mod Dyn;0
34;KR Mod Dyn;0
66;KR Mod Dyn;0
66;KR Mod Dyn;0.001
66;KR Mod Dyn;0
130;KR Mod Dyn;0.001
130;KR Mod Dyn;0.001
130;KR Mod Dyn;0.001
258;KR Mod Dyn;0.003
258;KR Mod Dyn;0.003
258;KR Mod Dyn;0.003
514;KR Mod Dyn;0.012
514;KR Mod Dyn;0.015
514;KR Mod Dyn;0.011
1026;KR Mod Dyn;0.065
1026;KR Mod Dyn;0.07
1026;KR Mod Dyn;0.079
2050;KR Mod Dyn;0.228
2050;KR Mod Dyn;0.178
2050;KR Mod Dyn;0.201
4098;KR Mod Dyn;0.976
4098;KR Mod Dyn;0.711
4098;KR Mod Dyn;0.953
8194;KR Mod Dyn;2.908
8194;KR Mod Dyn;2.895
8194;KR Mod Dyn;2.876
16386;KR Mod Dyn;11.726
16386;KR Mod Dyn;15.498
16386;KR Mod Dyn;11.761
32770;KR Mod Dyn;55.908
32770;KR Mod Dyn;55.037
32770;KR Mod Dyn;53.269
