Size;Algorithm;Time
18;KR Mod;0
18;KR Mod;0
18;KR Mod;0
34;KR Mod;0
34;KR Mod;0
34;KR Mod;0
66;KR Mod;0
66;KR Mod;0
66;KR Mod;0
130;KR Mod;0.001
130;KR Mod;0.001
130;KR Mod;0
258;KR Mod;0.003
258;KR Mod;0.003
258;KR Mod;0.003
514;KR Mod;0.008
514;KR Mod;0.01
514;KR Mod;0.006
1026;KR Mod;0.018
1026;KR Mod;0.02
1026;KR Mod;0.014
2050;KR Mod;0.066
2050;KR Mod;0.061
2050;KR Mod;0.057
4098;KR Mod;0.261
4098;KR Mod;0.27
4098;KR Mod;0.256
8194;KR Mod;0.983
8194;KR Mod;1.062
8194;KR Mod;1.092
16386;KR Mod;4.068
16386;KR Mod;4.435
16386;KR Mod;4.058
32770;KR Mod;19.209
32770;KR Mod;20.067
32770;KR Mod;18.965
65538;KR Mod;114.853
65538;KR Mod;110.016
65538;KR Mod;113.365
131074;KR Mod;392.771
