a;b;Algorithm;Time
3;3;Dinic;0
3;3;Dinic;0
3;3;Dinic;0
3;3;Dinic;0
3;3;Dinic;0
3;3;Dinic;0
4;4;Dinic;0
4;4;Dinic;0
4;4;Dinic;0
5;5;Dinic;0.001
5;5;Dinic;0.001
5;5;Dinic;0
6;6;Dinic;0.001
6;6;Dinic;0
6;6;Dinic;0.001
8;8;Dinic;0.004
8;8;Dinic;0.004
8;8;Dinic;0.003
10;10;Dinic;0.012
10;10;Dinic;0.012
10;10;Dinic;0.012
13;13;Dinic;0.052
13;13;Dinic;0.052
13;13;Dinic;0.051
16;16;Dinic;0.188
16;16;Dinic;0.187
16;16;Dinic;0.189
20;20;Dinic;0.736
20;20;Dinic;0.746
20;20;Dinic;0.739
25;25;Dinic;3.417
25;25;Dinic;3.417
25;25;Dinic;3.447
32;32;Dinic;14.981
32;32;Dinic;14.636
32;32;Dinic;14.549
40;40;Dinic;73.26
40;40;Dinic;72.722
40;40;Dinic;72.547
51;51;Dinic;509.205
