a;b;Algorithm;Time
3;3;EK;0
3;3;EK;0
3;3;EK;0
3;3;EK;0
3;3;EK;0
3;3;EK;0
4;4;EK;0
4;4;EK;0
4;4;EK;0
5;5;EK;0
5;5;EK;0.001
5;5;EK;0
6;6;EK;0.002
6;6;EK;0.003
6;6;EK;0.003
8;8;EK;0.015
8;8;EK;0.008
8;8;EK;0.008
10;10;EK;0.036
10;10;EK;0.034
10;10;EK;0.034
13;13;EK;0.187
13;13;EK;0.188
13;13;EK;0.185
16;16;EK;0.699
16;16;EK;0.697
16;16;EK;0.696
20;20;EK;2.757
20;20;EK;2.752
20;20;EK;2.754
25;25;EK;12.119
25;25;EK;11.995
25;25;EK;12.115
32;32;EK;98.527
32;32;EK;102.236
32;32;EK;104.027
40;40;EK;444.629
