a;b;Algorithm;Time
3;3;GR;0.001
3;3;GR;0.001
3;3;GR;0.001
3;3;GR;0.001
3;3;GR;0.002
3;3;GR;0.001
4;4;GR;0.004
4;4;GR;0.004
4;4;GR;0.004
5;5;GR;0.013
5;5;GR;0.013
5;5;GR;0.013
6;6;GR;0.027
6;6;GR;0.028
6;6;GR;0.028
8;8;GR;0.104
8;8;GR;0.105
8;8;GR;0.103
10;10;GR;0.315
10;10;GR;0.319
10;10;GR;0.318
13;13;GR;1.047
13;13;GR;1.052
13;13;GR;1.049
16;16;GR;2.85
16;16;GR;2.868
16;16;GR;2.812
20;20;GR;8.218
20;20;GR;8.068
20;20;GR;8.302
25;25;GR;29.95
25;25;GR;29.59
25;25;GR;28.376
32;32;GR;126.109
32;32;GR;126.54
32;32;GR;129.221
