a;b;Algorithm;Time
3;3;GT Dyn;0.001
3;3;GT Dyn;0
3;3;GT Dyn;0
3;3;GT Dyn;0
3;3;GT Dyn;0
3;3;GT Dyn;0.001
4;4;GT Dyn;0.001
4;4;GT Dyn;0.001
4;4;GT Dyn;0.001
5;5;GT Dyn;0.001
5;5;GT Dyn;0.002
5;5;GT Dyn;0.002
6;6;GT Dyn;0.007
6;6;GT Dyn;0.007
6;6;GT Dyn;0.007
8;8;GT Dyn;0.071
8;8;GT Dyn;0.072
8;8;GT Dyn;0.071
10;10;GT Dyn;0.395
10;10;GT Dyn;0.398
10;10;GT Dyn;0.396
13;13;GT Dyn;0.336
13;13;GT Dyn;0.336
13;13;GT Dyn;0.339
16;16;GT Dyn;1.428
16;16;GT Dyn;1.424
16;16;GT Dyn;1.428
20;20;GT Dyn;2.902
20;20;GT Dyn;2.891
20;20;GT Dyn;2.893
25;25;GT Dyn;132.527
25;25;GT Dyn;133.303
25;25;GT Dyn;135.404
32;32;GT Dyn;253.21
