a;b;Algorithm;Time
3;3;KR Mod Dyn;0
3;3;KR Mod Dyn;0
3;3;KR Mod Dyn;0
3;3;KR Mod Dyn;0.001
3;3;KR Mod Dyn;0.001
3;3;KR Mod Dyn;0
4;4;KR Mod Dyn;0.001
4;4;KR Mod Dyn;0.001
4;4;KR Mod Dyn;0.001
5;5;KR Mod Dyn;0.003
5;5;KR Mod Dyn;0.002
5;5;KR Mod Dyn;0.002
6;6;KR Mod Dyn;0.009
6;6;KR Mod Dyn;0.009
6;6;KR Mod Dyn;0.009
8;8;KR Mod Dyn;0.095
8;8;KR Mod Dyn;0.091
8;8;KR Mod Dyn;0.093
10;10;KR Mod Dyn;0.629
10;10;KR Mod Dyn;0.633
10;10;KR Mod Dyn;0.633
13;13;KR Mod Dyn;0.467
13;13;KR Mod Dyn;0.473
13;13;KR Mod Dyn;0.46
16;16;KR Mod Dyn;2.41
16;16;KR Mod Dyn;2.38
16;16;KR Mod Dyn;2.358
20;20;KR Mod Dyn;4.814
20;20;KR Mod Dyn;4.931
20;20;KR Mod Dyn;4.5
25;25;KR Mod Dyn;373.575
25;25;KR Mod Dyn;357.458
