a;b;Algorithm;Time
3;3;KR Mod;0
3;3;KR Mod;0
3;3;KR Mod;0
3;3;KR Mod;0
3;3;KR Mod;0
3;3;KR Mod;0
4;4;KR Mod;0
4;4;KR Mod;0.001
4;4;KR Mod;0
5;5;KR Mod;0.001
5;5;KR Mod;0.001
5;5;KR Mod;0.001
6;6;KR Mod;0.003
6;6;KR Mod;0.003
6;6;KR Mod;0.003
8;8;KR Mod;0.044
8;8;KR Mod;0.039
8;8;KR Mod;0.04
10;10;KR Mod;0.289
10;10;KR Mod;0.258
10;10;KR Mod;0.256
13;13;KR Mod;0.175
13;13;KR Mod;0.165
13;13;KR Mod;0.167
16;16;KR Mod;0.874
16;16;KR Mod;0.876
16;16;KR Mod;0.88
20;20;KR Mod;1.766
20;20;KR Mod;1.738
20;20;KR Mod;1.707
25;25;KR Mod;132.72
25;25;KR Mod;137.104
25;25;KR Mod;158.712
32;32;KR Mod;431.567
